Actual_Label,Predicted_Cluster,Posterior_Cluster0,Posterior_Cluster1,Confidence,Uncertainty,Entropy
0,1,0.0,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.151269691834385e-202,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.3599658200849215e-133,1.0,1.0,0.0,-1.000088900581841e-12
0,1,4.420254263028005e-151,1.0,1.0,0.0,-1.000088900581841e-12
0,1,2.3664738486706425e-142,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.568674358801888e-16,1.0,1.0,0.0,-9.957545177540966e-13
0,1,3.4021190650217124e-93,1.0,1.0,0.0,-1.000088900581841e-12
0,1,6.523220785967946e-09,0.9999999934767789,0.9999999934767789,6.5232210744170516e-09,1.2947021853106325e-07
0,1,9.699203685134883e-27,1.0,1.0,0.0,-1.000088900581573e-12
0,1,9.487186845300988e-131,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.1014289225744457e-17,1.0,1.0,0.0,-9.997845646449813e-13
0,1,4.3002726033222827e-72,1.0,1.0,0.0,-1.000088900581841e-12
0,1,0.0,1.0,1.0,0.0,-1.000088900581841e-12
0,0,0.9750614158198707,0.02493858418012913,0.9750614158198707,0.024938584180129286,0.11668177105920896
0,1,4.3056708234891845e-47,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.220456292017438e-35,1.0,1.0,0.0,-1.000088900581841e-12
0,1,7.597835826812077e-28,1.0,1.0,0.0,-1.00008890058182e-12
0,1,6.251631471449798e-67,1.0,1.0,0.0,-1.000088900581841e-12
0,1,0.0,1.0,1.0,0.0,-1.000088900581841e-12
1,0,0.999999995839346,4.160653622527145e-09,0.999999995839346,4.160654043516843e-09,8.444925712060629e-08
1,0,0.9999999999312834,6.871631852476873e-11,0.9999999999312834,6.871658797535929e-11,1.6747567510057744e-09
1,0,1.0,9.921906202342037e-17,1.0,0.0,-9.973473864279031e-13
0,1,3.0399114348112003e-29,1.0,1.0,0.0,-1.0000889005818402e-12
0,1,0.0,1.0,1.0,0.0,-1.000088900581841e-12
0,1,0.0,1.0,1.0,0.0,-1.000088900581841e-12
0,1,2.2636088138147483e-124,1.0,1.0,0.0,-1.000088900581841e-12
0,1,4.058625437753532e-24,1.0,1.0,0.0,-1.000088900469697e-12
0,1,4.621520962267533e-58,1.0,1.0,0.0,-1.000088900581841e-12
0,1,9.546254389817011e-113,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.520711824582301e-14,0.9999999999999849,0.9999999999999849,1.509903313490213e-14,-5.650311777831083e-13
0,1,3.436099421930022e-163,1.0,1.0,0.0,-1.000088900581841e-12
0,1,9.016704303332443e-52,1.0,1.0,0.0,-1.000088900581841e-12
0,1,6.712782030636015e-84,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.1926114043447954e-210,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.2158605223992643e-70,1.0,1.0,0.0,-1.000088900581841e-12
0,1,1.6600239239168238e-27,1.0,1.0,0.0,-1.0000889005817951e-12
0,1,1.3912161595879175e-20,1.0,1.0,0.0,-1.0000885161746103e-12
1,0,1.0,4.0886133208731934e-21,1.0,0.0,-1.00008878760928e-12
0,0,0.9999999181942945,8.180569957259815e-08,0.9999999181942945,8.180570554294775e-08,1.4167842806491776e-06
0,1,7.137172084672866e-07,0.9999992862827909,0.9999992862827909,7.137172091109534e-07,1.0814796888385386e-05
0,0,0.9999999631792693,3.682072994360605e-08,0.9999999631792693,3.68207306866708e-08,6.67086706725571e-07
0,0,0.99985392565691,0.00014607434309006617,0.99985392565691,0.0001460743430899969,0.0014361038754222232
0,1,1.2623143780023824e-103,1.0,1.0,0.0,-1.000088900581841e-12
