Cluster1_Probability,Cluster2_Probability
0.0,1.0
1.151269691834385e-202,1.0
1.3599658200849215e-133,1.0
4.420254263028005e-151,1.0
2.3664738486706425e-142,1.0
1.568674358801888e-16,1.0
3.4021190650217124e-93,1.0
6.523220785967946e-09,0.9999999934767789
9.699203685134883e-27,1.0
9.487186845300988e-131,1.0
1.1014289225744457e-17,1.0
4.3002726033222827e-72,1.0
0.0,1.0
0.9750614158198707,0.02493858418012913
4.3056708234891845e-47,1.0
1.220456292017438e-35,1.0
7.597835826812077e-28,1.0
6.251631471449798e-67,1.0
0.0,1.0
0.999999995839346,4.160653622527145e-09
0.9999999999312834,6.871631852476873e-11
1.0,9.921906202342037e-17
3.0399114348112003e-29,1.0
0.0,1.0
0.0,1.0
2.2636088138147483e-124,1.0
4.058625437753532e-24,1.0
4.621520962267533e-58,1.0
9.546254389817011e-113,1.0
1.520711824582301e-14,0.9999999999999849
3.436099421930022e-163,1.0
9.016704303332443e-52,1.0
6.712782030636015e-84,1.0
1.1926114043447954e-210,1.0
1.2158605223992643e-70,1.0
1.6600239239168238e-27,1.0
1.3912161595879175e-20,1.0
1.0,4.0886133208731934e-21
0.9999999181942945,8.180569957259815e-08
7.137172084672866e-07,0.9999992862827909
0.9999999631792693,3.682072994360605e-08
0.99985392565691,0.00014607434309006617
1.2623143780023824e-103,1.0
4.763038442550748e-08,0.9999999523696157
8.323423648480334e-16,0.9999999999999991
5.6736414503628644e-61,1.0
1.0,5.35171185768696e-20
5.866732093598491e-06,0.9999941332679065
0.9999999846530284,1.5346971616531366e-08
0.9999997986312764,2.0136872353256414e-07
0.9999999999999893,9.882388259346729e-15
0.9999999995165734,4.834265213820468e-10
0.9999999999976854,2.3150023064367248e-12
3.493953357299156e-107,1.0
7.1657940435854385e-09,0.9999999928342058
0.9999999999999591,4.0075850924905396e-14
0.0,1.0
2.9167947193307998e-40,1.0
1.0,3.0423707173656647e-16
0.9999999999999999,7.725594190751206e-17
1.0,8.94569576307064e-30
1.0,8.0936827417752e-25
9.323484224561934e-34,1.0
1.0,4.993380765844443e-23
1.1105815935498441e-14,0.9999999999999885
7.289158704867445e-12,0.9999999999927107
0.9999999999999982,1.5661544121507186e-15
0.9999999999999858,1.3811465419420163e-14
4.063023900903681e-182,1.0
0.9999999999953353,4.665286424883657e-12
1.0472795994773906e-174,1.0
1.0,7.17164681542577e-16
6.464302903120386e-229,1.0
0.9990218357826993,0.0009781642173006982
0.9999999944189693,5.581031337551823e-09
3.1709749091384985e-29,1.0
0.9999999999999947,5.159020120769533e-15
2.2605949310545704e-287,1.0
0.0,1.0
0.9999999999952927,4.709085435203199e-12
0.999999999986434,1.356549839070304e-11
2.1231163060392593e-49,1.0
0.0,1.0
1.2110903181767287e-186,1.0
0.9999999999680345,3.196590071508784e-11
1.2793331552718686e-80,1.0
0.999958963458921,4.1036541079035456e-05
2.9788608488864844e-66,1.0
0.9999999969516971,3.0483024401587294e-09
0.9999992034099265,7.965900735845498e-07
0.9999999949411844,5.058816260344067e-09
0.9999978352573344,2.1647426655130126e-06
0.9999986546827919,1.3453172080970778e-06
0.9999999999954667,4.532384106325685e-12
1.605017218332631e-13,0.9999999999998392
2.2359349122032613e-86,1.0
0.9999999999999751,2.441408443089253e-14
1.0,2.145222681242645e-19
0.9999999999637925,3.620709570443676e-11
0.9999892353949538,1.0764605045457674e-05
0.0018774186188426616,0.9981225813811573
1.0,4.556290421958565e-25
0.9999999999145341,8.546550885096713e-11
0.9999999999995648,4.353799949011181e-13
1.0,3.111916378712998e-19
4.363711990305486e-31,1.0
0.9999999993871374,6.128633275038998e-10
0.9999999925616319,7.43836723243351e-09
0.0,1.0
0.9999999969625655,3.0374345012556876e-09
1.0,1.486657367584898e-16
0.9999470176233658,5.2982376634141845e-05
5.075820799321557e-66,1.0
0.9999999999999973,2.5205881195402145e-15
0.9999999999927701,7.22984546676028e-12
0.9999999895300355,1.046996370773796e-08
0.9999860874699962,1.3912530002034154e-05
1.2096048894644186e-43,1.0
1.3167893848699959e-71,1.0
8.094456117558772e-31,1.0
0.9999999999843308,1.5668634524944946e-11
