Actual_Label,Predicted_Cluster,Posterior_Cluster0,Posterior_Cluster1,Confidence,Uncertainty
1,0,0.91101995240635,0.08898004759365004,0.91101995240635,0.08898004759364997
1,0,0.968071641091486,0.03192835890851393,0.968071641091486,0.031928358908513976
0,0,0.9691429328187631,0.03085706718123694,0.9691429328187631,0.03085706718123693
0,0,0.9750614158198707,0.02493858418012913,0.9750614158198707,0.024938584180129286
1,0,0.986289942514119,0.013710057485880766,0.986289942514119,0.013710057485881055
0,1,0.012058201076730175,0.9879417989232699,0.9879417989232699,0.012058201076730057
1,0,0.9938664628258274,0.00613353717417258,0.9938664628258274,0.006133537174172643
1,0,0.9954588483376505,0.004541151662349153,0.9954588483376505,0.004541151662349474
0,1,0.0021951877233011693,0.9978048122766991,0.9978048122766991,0.002195187723300851
1,0,0.9978326734734837,0.0021673265265163286,0.9978326734734837,0.0021673265265163
