Actual_Label,Predicted_Cluster,Posterior_Cluster0,Posterior_Cluster1,Confidence,Uncertainty,Entropy
1,0,0.91101995240635,0.08898004759365004,0.91101995240635,0.08898004759364997,0.3001716527828158
1,0,0.968071641091486,0.03192835890851393,0.968071641091486,0.031928358908513976,0.14138272667337268
0,0,0.9691429328187631,0.03085706718123694,0.9691429328187631,0.03085706718123693,0.13770891174461503
0,0,0.9750614158198707,0.02493858418012913,0.9750614158198707,0.024938584180129286,0.11668177105920896
1,0,0.986289942514119,0.013710057485880766,0.986289942514119,0.013710057485881055,0.07242665563876334
0,1,0.012058201076730175,0.9879417989232699,0.9879417989232699,0.012058201076730057,0.06525846309611409
1,0,0.9938664628258274,0.00613353717417258,0.9938664628258274,0.006133537174172643,0.03735882665350439
1,0,0.9954588483376505,0.004541151662349153,0.9954588483376505,0.004541151662349474,0.029028406531665146
0,1,0.0021951877233011693,0.9978048122766991,0.9978048122766991,0.002195187723300851,0.015630591207592526
1,0,0.9978326734734837,0.0021673265265163286,0.9978326734734837,0.0021673265265163,0.01545992251347229
0,1,0.0018774186188426616,0.9981225813811573,0.9981225813811573,0.0018774186188427189,0.013661821758488847
1,0,0.9987703503654086,0.0012296496345913514,0.9987703503654086,0.0012296496345913788,0.009468807475820596
1,1,0.0011247145292460718,0.9988752854707541,0.9988752854707541,0.001124714529245896,0.008761147668379776
1,0,0.9989738415608185,0.0010261584391816553,0.9989738415608185,0.0010261584391815237,0.00808758550540081
1,0,0.9990090108416068,0.000990989158393003,0.9990090108416068,0.0009909891583932406,0.0078449786761402
0,0,0.9990218357826993,0.0009781642173006982,0.9990218357826993,0.000978164217300681,0.007756200319968683
1,0,0.9991277423957102,0.0008722576042896687,0.9991277423957102,0.0008722576042897723,0.007016431011913806
1,0,0.9991843217259897,0.000815678274010387,0.9991843217259897,0.0008156782740103008,0.00661603385574321
0,1,0.0007739528917130613,0.9992260471082867,0.9992260471082867,0.0007739528917133365,0.006318251478557523
1,0,0.9994809697265195,0.0005190302734804566,0.9994809697265195,0.0005190302734805474,0.004444606118514163
